"Date","Total Viewers","New Viewers","Returning Viewers"
"25 Φεβρουαρίου","378","296","82"
"26 Φεβρουαρίου","131","84","47"
"27 Φεβρουαρίου","14","8","6"
"28 Φεβρουαρίου","7","3","4"
"1 Μαρτίου","5","3","2"
"2 Μαρτίου","7","6","1"
"3 Μαρτίου","9","5","4"
"4 Μαρτίου","16114","16019","95"
"5 Μαρτίου","23946","23422","524"
"6 Μαρτίου","23371","22832","539"
"7 Μαρτίου","4471","4073","398"
"8 Μαρτίου","63125","34066","29059"
"9 Μαρτίου","64339","34472","29867"
"10 Μαρτίου","39644","26805","12839"
"11 Μαρτίου","38191","18329","19862"
"12 Μαρτίου","19029","13177","5852"
"13 Μαρτίου","12838","9525","3313"
"14 Μαρτίου","9876","7408","2468"
"15 Μαρτίου","9981","6666","3315"
"16 Μαρτίου","7493","5691","1802"
"17 Μαρτίου","24471","8185","16286"
"18 Μαρτίου","8973","3253","5720"
"19 Μαρτίου","6900","3081","3819"
"20 Μαρτίου","4898","2807","2091"
"21 Μαρτίου","3128","1741","1387"
"22 Μαρτίου","2626","1457","1169"
"23 Μαρτίου","2162","1145","1017"
"24 Μαρτίου","2935","1919","1016"